"UserPrincipalName";"DisplayName";"TotalItemSizeGB";"ItemCount";"WarningQuota";"SendQuota";"LastLogonTime";"Status";"Reason"
"alif.mardiono@M365x57702712.onmicrosoft.com";"Alif M. Mardiono";"0";"1";"1.96 GB (2,104,492,032 bytes)";"1.979 GB (2,125,463,552 bytes)";;"SUCCESS";"Storage data collected."
"alif.ramlan@M365x57702712.onmicrosoft.com";"Alif R. Ramlan";"0";"1";"1.96 GB (2,104,492,032 bytes)";"1.979 GB (2,125,463,552 bytes)";;"SUCCESS";"Storage data collected."
"andi.valentino@M365x57702712.onmicrosoft.com";"Andi V. Valentino";"0";"1";"1.96 GB (2,104,492,032 bytes)";"1.979 GB (2,125,463,552 bytes)";;"SUCCESS";"Storage data collected."
"bagas.wibisono@M365x57702712.onmicrosoft.com";"Bagas W. Wibisono";"0";"1";"1.96 GB (2,104,492,032 bytes)";"1.979 GB (2,125,463,552 bytes)";;"SUCCESS";"Storage data collected."
"bima.iskandar@M365x57702712.onmicrosoft.com";"Bima I. Iskandar";"0";"1";"1.96 GB (2,104,492,032 bytes)";"1.979 GB (2,125,463,552 bytes)";;"SUCCESS";"Storage data collected."
"bima.jamaludin@M365x57702712.onmicrosoft.com";"Bima J. Jamaludin";"0";"2";"1.96 GB (2,104,492,032 bytes)";"1.979 GB (2,125,463,552 bytes)";;"SUCCESS";"Storage data collected."
"bulan.bahari@M365x57702712.onmicrosoft.com";"Bulan B. Bahari";"0";"1";"1.96 GB (2,104,492,032 bytes)";"1.979 GB (2,125,463,552 bytes)";;"SUCCESS";"Storage data collected."
"dani.umara@M365x57702712.onmicrosoft.com";"Dani U. Umara";"0";"1";"1.96 GB (2,104,492,032 bytes)";"1.979 GB (2,125,463,552 bytes)";;"SUCCESS";"Storage data collected."
"elang.bachtiar@M365x57702712.onmicrosoft.com";"Elang B. Bachtiar";"0";"1";"1.96 GB (2,104,492,032 bytes)";"1.979 GB (2,125,463,552 bytes)";;"SUCCESS";"Storage data collected."
"fauzi.nasution@M365x57702712.onmicrosoft.com";"Fauzi N. Nasution";"0";"1";"1.96 GB (2,104,492,032 bytes)";"1.979 GB (2,125,463,552 bytes)";;"SUCCESS";"Storage data collected."
"fikri.ramdhan@M365x57702712.onmicrosoft.com";"Fikri R. Ramdhan";"0";"2";"1.96 GB (2,104,492,032 bytes)";"1.979 GB (2,125,463,552 bytes)";;"SUCCESS";"Storage data collected."
"gery.kautsar@M365x57702712.onmicrosoft.com";"Gery K. Kautsar";"0";"1";"1.96 GB (2,104,492,032 bytes)";"1.979 GB (2,125,463,552 bytes)";;"SUCCESS";"Storage data collected."
"gilang.effendi@M365x57702712.onmicrosoft.com";"Gilang E. Effendi";"0";"1";"1.96 GB (2,104,492,032 bytes)";"1.979 GB (2,125,463,552 bytes)";;"SUCCESS";"Storage data collected."
"hana.kautsar@M365x57702712.onmicrosoft.com";"Hana K. Kautsar";"0";"1";"1.96 GB (2,104,492,032 bytes)";"1.979 GB (2,125,463,552 bytes)";;"SUCCESS";"Storage data collected."
"ilham.widianto@M365x57702712.onmicrosoft.com";;;;;;;"FAIL";"||The operation couldn't be performed because object 'ilham.widianto@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"IsaiahL@M365x57702712.OnMicrosoft.com";"Isaiah Langer";"0.01";"160";"1.96 GB (2,104,492,032 bytes)";"1.979 GB (2,125,463,552 bytes)";"12/6/2025 7:55:02 AM";"SUCCESS";"Storage data collected."
"iwan.wiratama@M365x57702712.onmicrosoft.com";;;;;;;"FAIL";"||The operation couldn't be performed because object 'iwan.wiratama@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"jihan.ismail@M365x57702712.onmicrosoft.com";;;;;;;"FAIL";"||The operation couldn't be performed because object 'jihan.ismail@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"jihan.valianto@M365x57702712.onmicrosoft.com";;;;;;;"FAIL";"||The operation couldn't be performed because object 'jihan.valianto@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"johan.dharma@M365x57702712.onmicrosoft.com";;;;;;;"FAIL";"||The operation couldn't be performed because object 'johan.dharma@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
