"InputUser";"DisplayName";"UPN";"Contact"
"alif.mardiono@M365x57702712.onmicrosoft.com";"Alif M. Mardiono";"alif.mardiono@M365x57702712.onmicrosoft.com";"-"
"alif.ramlan@M365x57702712.onmicrosoft.com";"Alif R. Ramlan";"alif.ramlan@M365x57702712.onmicrosoft.com";"-"
"andi.valentino@M365x57702712.onmicrosoft.com";"Andi V. Valentino";"andi.valentino@M365x57702712.onmicrosoft.com";"-"
"bagas.wibisono@M365x57702712.onmicrosoft.com";"Bagas W. Wibisono";"bagas.wibisono@M365x57702712.onmicrosoft.com";"-"
"bima.iskandar@M365x57702712.onmicrosoft.com";"Bima I. Iskandar";"bima.iskandar@M365x57702712.onmicrosoft.com";"-"
"bima.jamaludin@M365x57702712.onmicrosoft.com";"Bima J. Jamaludin";"bima.jamaludin@M365x57702712.onmicrosoft.com";"-"
"bulan.bahari@M365x57702712.onmicrosoft.com";"Bulan B. Bahari";"bulan.bahari@M365x57702712.onmicrosoft.com";"-"
"dani.umara@M365x57702712.onmicrosoft.com";"Dani U. Umara";"dani.umara@M365x57702712.onmicrosoft.com";"-"
"elang.bachtiar@M365x57702712.onmicrosoft.com";"Elang B. Bachtiar";"elang.bachtiar@M365x57702712.onmicrosoft.com";"-"
"fauzi.nasution@M365x57702712.onmicrosoft.com";"Fauzi N. Nasution";"fauzi.nasution@M365x57702712.onmicrosoft.com";"-"
"fikri.ramdhan@M365x57702712.onmicrosoft.com";"Fikri R. Ramdhan";"fikri.ramdhan@M365x57702712.onmicrosoft.com";"-"
"gery.kautsar@M365x57702712.onmicrosoft.com";"Gery K. Kautsar";"gery.kautsar@M365x57702712.onmicrosoft.com";"-"
"gilang.effendi@M365x57702712.onmicrosoft.com";"Gilang E. Effendi";"gilang.effendi@M365x57702712.onmicrosoft.com";"-"
"hana.kautsar@M365x57702712.onmicrosoft.com";"Hana K. Kautsar";"hana.kautsar@M365x57702712.onmicrosoft.com";"-"
"ilham.widianto@M365x57702712.onmicrosoft.com";"Ilham W. Widianto";"ilham.widianto@M365x57702712.onmicrosoft.com";"-"
"IsaiahL@M365x57702712.OnMicrosoft.com";"Isaiah Langer";"IsaiahL@M365x57702712.OnMicrosoft.com";"-"
"iwan.wiratama@M365x57702712.onmicrosoft.com";"Iwan W. Wiratama";"iwan.wiratama@M365x57702712.onmicrosoft.com";"-"
"jihan.ismail@M365x57702712.onmicrosoft.com";"Jihan I. Ismail";"jihan.ismail@M365x57702712.onmicrosoft.com";"-"
"jihan.valianto@M365x57702712.onmicrosoft.com";"Jihan V. Valianto";"jihan.valianto@M365x57702712.onmicrosoft.com";"-"
"johan.dharma@M365x57702712.onmicrosoft.com";"Johan D. Dharma";"johan.dharma@M365x57702712.onmicrosoft.com";"-"
"LidiaH@M365x57702712.OnMicrosoft.com";"Lidia Holloway";"LidiaH@M365x57702712.OnMicrosoft.com";"-"
"MeganB@M365x57702712.OnMicrosoft.com";"Megan Bowen";"MeganB@M365x57702712.OnMicrosoft.com";"-"
"admin@M365x57702712.onmicrosoft.com";"MOD Administrator";"admin@M365x57702712.onmicrosoft.com";"425-555-0100 | 425-555-0101"
"NestorW@M365x57702712.OnMicrosoft.com";"Nestor Wilke";"NestorW@M365x57702712.OnMicrosoft.com";"-"
