"UserPrincipalName";"DisplayName";"Status";"Reason"
"alif.mardiono@M365x57702712.onmicrosoft.com";"Alif M. Mardiono";"SUCCESS";"Lisensi berhasil diberikan."
"alif.ramlan@M365x57702712.onmicrosoft.com";"Alif R. Ramlan";"SUCCESS";"Lisensi berhasil diberikan."
"andi.valentino@M365x57702712.onmicrosoft.com";"Andi V. Valentino";"SUCCESS";"Lisensi berhasil diberikan."
"bagas.wibisono@M365x57702712.onmicrosoft.com";"Bagas W. Wibisono";"SUCCESS";"Lisensi berhasil diberikan."
"bima.iskandar@M365x57702712.onmicrosoft.com";"Bima I. Iskandar";"SUCCESS";"Lisensi berhasil diberikan."
"bima.jamaludin@M365x57702712.onmicrosoft.com";"Bima J. Jamaludin";"SUCCESS";"Lisensi berhasil diberikan."
"bulan.bahari@M365x57702712.onmicrosoft.com";"Bulan B. Bahari";"SUCCESS";"Lisensi berhasil diberikan."
"dani.umara@M365x57702712.onmicrosoft.com";"Dani U. Umara";"SUCCESS";"Lisensi berhasil diberikan."
"elang.bachtiar@M365x57702712.onmicrosoft.com";"Elang B. Bachtiar";"SUCCESS";"Lisensi berhasil diberikan."
"fauzi.nasution@M365x57702712.onmicrosoft.com";"Fauzi N. Nasution";"SUCCESS";"Lisensi berhasil diberikan."
"fikri.ramdhan@M365x57702712.onmicrosoft.com";"Fikri R. Ramdhan";"SUCCESS";"Lisensi berhasil diberikan."
"gery.kautsar@M365x57702712.onmicrosoft.com";"Gery K. Kautsar";"SUCCESS";"Lisensi berhasil diberikan."
"gilang.effendi@M365x57702712.onmicrosoft.com";"Gilang E. Effendi";"SUCCESS";"Lisensi berhasil diberikan."
"hana.kautsar@M365x57702712.onmicrosoft.com";"Hana K. Kautsar";"SUCCESS";"Lisensi berhasil diberikan."
"ilham.widianto@M365x57702712.onmicrosoft.com";"Ilham W. Widianto";"SUCCESS";"Lisensi berhasil diberikan."
"IsaiahL@M365x57702712.OnMicrosoft.com";"Isaiah Langer";"SUCCESS";"Lisensi berhasil diberikan."
"iwan.wiratama@M365x57702712.onmicrosoft.com";"Iwan W. Wiratama";"SUCCESS";"Lisensi berhasil diberikan."
"jihan.ismail@M365x57702712.onmicrosoft.com";"Jihan I. Ismail";"SUCCESS";"Lisensi berhasil diberikan."
"jihan.valianto@M365x57702712.onmicrosoft.com";"Jihan V. Valianto";"SUCCESS";"Lisensi berhasil diberikan."
"admin@M365x57702712.onmicrosoft.com";"MOD Administrator";"SUCCESS";"Lisensi berhasil diberikan."
