"Id";"DisplayName";"UserPrincipalName";"PerUserMFAState"
"c8b13483-b777-4ab3-992c-38dc31c4578c";"MOD Administrator";"admin@M365x57702712.onmicrosoft.com";"disabled"
"90cdf7d2-99b1-4baa-ad38-9ec53a820f7f";"Alif M. Mardiono";"alif.mardiono@M365x57702712.onmicrosoft.com";"disabled"
"5168e0c3-7a58-4e6b-a992-4e34181cb104";"Alif R. Ramlan";"alif.ramlan@M365x57702712.onmicrosoft.com";"disabled"
"f9ba6221-a60e-40b1-a63e-5df9d77eda1a";"Andi V. Valentino";"andi.valentino@M365x57702712.onmicrosoft.com";"disabled"
"c7424837-c991-4cac-8c9d-a886a5876fff";"Bagas W. Wibisono";"bagas.wibisono@M365x57702712.onmicrosoft.com";"disabled"
"0fa9dc18-bacc-4380-9d54-2ba68003a490";"Bima I. Iskandar";"bima.iskandar@M365x57702712.onmicrosoft.com";"disabled"
"6fbc72cd-0a53-4419-88fe-6ec366bcf3c1";"Bima J. Jamaludin";"bima.jamaludin@M365x57702712.onmicrosoft.com";"disabled"
"a8f01c11-e0f6-4e49-ba58-cbd4d686ddaf";"Bulan B. Bahari";"bulan.bahari@M365x57702712.onmicrosoft.com";"disabled"
"5a5329d5-6a5c-48e0-9efa-f85f5bb41a79";"Dani U. Umara";"dani.umara@M365x57702712.onmicrosoft.com";"disabled"
"43ef5984-3264-4501-a06d-f3c202bce1ea";"Elang B. Bachtiar";"elang.bachtiar@M365x57702712.onmicrosoft.com";"disabled"
"742475f0-a530-4458-a5ca-7a6d751ac145";"Fauzi N. Nasution";"fauzi.nasution@M365x57702712.onmicrosoft.com";"disabled"
"ca18c2d8-6430-4160-8a9b-51ca5d96237d";"Fikri R. Ramdhan";"fikri.ramdhan@M365x57702712.onmicrosoft.com";"disabled"
"cb3c6799-e0b5-4e2a-8302-4f4241538a4f";"Gery K. Kautsar";"gery.kautsar@M365x57702712.onmicrosoft.com";"disabled"
"ef4c0228-c94d-4e93-b9b0-606fef6a0740";"Gilang E. Effendi";"gilang.effendi@M365x57702712.onmicrosoft.com";"disabled"
"e069fbd9-8ee9-4220-8e27-1ea546a2626a";"Hana K. Kautsar";"hana.kautsar@M365x57702712.onmicrosoft.com";"disabled"
"dc726ec1-12ae-4607-9fdd-29283564c73d";"Ilham W. Widianto";"ilham.widianto@M365x57702712.onmicrosoft.com";"disabled"
"e9e7e003-daf9-492c-a317-6112dfc54284";"Isaiah Langer";"IsaiahL@M365x57702712.OnMicrosoft.com";"disabled"
"6b78071f-8514-49fd-a731-be3a209568c7";"Iwan W. Wiratama";"iwan.wiratama@M365x57702712.onmicrosoft.com";"disabled"
"9114e739-4fb2-4b30-80a2-7dc4762cd2f0";"Jihan I. Ismail";"jihan.ismail@M365x57702712.onmicrosoft.com";"disabled"
"7ad5fb19-29b2-4ba1-b3c1-0da980ddbb7d";"Jihan V. Valianto";"jihan.valianto@M365x57702712.onmicrosoft.com";"disabled"
"2fe5703c-b2f3-4367-a50d-ea690b2ebb5b";"Lili C. Cipto";"lili.cipto@M365x57702712.onmicrosoft.com";"disabled"
"a190b2e6-5121-402f-97e2-d40107a7e415";"Lisa L. Lazuardi";"lisa.lazuardi@M365x57702712.onmicrosoft.com";"disabled"
