"UserPrincipalName";"DisplayName";"EmailAddress";"OfficePhone";"MobilePhone";"JobTitle";"Department";"UsageLocation";"LicenseSKUs";"AccountCreatedDate"
"admin@M365x57702712.onmicrosoft.com";"MOD Administrator";"admin@M365x57702712.onmicrosoft.com";"425-555-0100";"425-555-0101";;;"SG";"; ";"11/25/2025"
"IsaiahL@M365x57702712.OnMicrosoft.com";"Isaiah Langer";"IsaiahL@M365x57702712.OnMicrosoft.com";"-";"-";;;"SG";"; ";"11/25/2025"
"alif.mardiono@M365x57702712.onmicrosoft.com";"Alif M. Mardiono";"alif.mardiono@M365x57702712.onmicrosoft.com";"-";"-";;;"ID";"; ";"12/19/2025"
"elang.bachtiar@M365x57702712.onmicrosoft.com";"Elang B. Bachtiar";"elang.bachtiar@M365x57702712.onmicrosoft.com";"-";"-";;;"ID";"; ";"12/19/2025"
"iwan.wiratama@M365x57702712.onmicrosoft.com";"Iwan W. Wiratama";"iwan.wiratama@M365x57702712.onmicrosoft.com";"-";"-";;;"ID";"; ";"12/19/2025"
"fauzi.nasution@M365x57702712.onmicrosoft.com";"Fauzi N. Nasution";"fauzi.nasution@M365x57702712.onmicrosoft.com";"-";"-";;;"ID";"; ";"12/19/2025"
"dani.umara@M365x57702712.onmicrosoft.com";"Dani U. Umara";"dani.umara@M365x57702712.onmicrosoft.com";"-";"-";;;"ID";"; ";"12/19/2025"
"gilang.effendi@M365x57702712.onmicrosoft.com";"Gilang E. Effendi";"gilang.effendi@M365x57702712.onmicrosoft.com";"-";"-";;;"ID";"; ";"12/19/2025"
"bagas.wibisono@M365x57702712.onmicrosoft.com";"Bagas W. Wibisono";"bagas.wibisono@M365x57702712.onmicrosoft.com";"-";"-";;;"ID";"; ";"12/19/2025"
"fikri.ramdhan@M365x57702712.onmicrosoft.com";"Fikri R. Ramdhan";"fikri.ramdhan@M365x57702712.onmicrosoft.com";"-";"-";;;"ID";"; ";"12/19/2025"
"bulan.bahari@M365x57702712.onmicrosoft.com";"Bulan B. Bahari";"bulan.bahari@M365x57702712.onmicrosoft.com";"-";"-";;;"ID";"; ";"12/19/2025"
"hana.kautsar@M365x57702712.onmicrosoft.com";"Hana K. Kautsar";"hana.kautsar@M365x57702712.onmicrosoft.com";"-";"-";;;"ID";"; ";"12/19/2025"
"jihan.ismail@M365x57702712.onmicrosoft.com";"Jihan I. Ismail";"jihan.ismail@M365x57702712.onmicrosoft.com";"-";"-";;;"ID";"; ";"12/19/2025"
"jihan.valianto@M365x57702712.onmicrosoft.com";"Jihan V. Valianto";"jihan.valianto@M365x57702712.onmicrosoft.com";"-";"-";;;"ID";"; ";"12/19/2025"
"ilham.widianto@M365x57702712.onmicrosoft.com";"Ilham W. Widianto";"ilham.widianto@M365x57702712.onmicrosoft.com";"-";"-";;;"ID";"; ";"12/19/2025"
"bima.iskandar@M365x57702712.onmicrosoft.com";"Bima I. Iskandar";"bima.iskandar@M365x57702712.onmicrosoft.com";"-";"-";;;"ID";"; ";"12/19/2025"
"bima.jamaludin@M365x57702712.onmicrosoft.com";"Bima J. Jamaludin";"bima.jamaludin@M365x57702712.onmicrosoft.com";"-";"-";;;"ID";"; ";"12/19/2025"
"gery.kautsar@M365x57702712.onmicrosoft.com";"Gery K. Kautsar";"gery.kautsar@M365x57702712.onmicrosoft.com";"-";"-";;;"ID";"; ";"12/19/2025"
"alif.ramlan@M365x57702712.onmicrosoft.com";"Alif R. Ramlan";"alif.ramlan@M365x57702712.onmicrosoft.com";"-";"-";;;"ID";"; ";"12/19/2025"
"andi.valentino@M365x57702712.onmicrosoft.com";"Andi V. Valentino";"andi.valentino@M365x57702712.onmicrosoft.com";"-";"-";;;"ID";"; ";"12/19/2025"
"lisa.lazuardi@M365x57702712.onmicrosoft.com";"Lisa L. Lazuardi";;"-";"-";;;"ID";"None Assigned";"12/20/2025"
"lili.cipto@M365x57702712.onmicrosoft.com";"Lili C. Cipto";;"-";"-";;;"ID";"None Assigned";"12/20/2025"
