"Id";"UserPrincipalName";"DisplayName";"AccountEnabled";"DeletedDateTime";"DeletionAgeInDays";"UserType"
"c4ad92bb-6449-44ba-a6f2-d5ea142deffc";"c4ad92bb644944baa6f2d5ea142deffcacha.septriasa@M365x57702712.onmicrosoft.com";"Acha S. Septriasa";;;;
"c42f52eb-597c-49ac-9dfb-9bb549abe07a";"c42f52eb597c49ac9dfb9bb549abe07aAdams@M365x57702712.OnMicrosoft.com";"Conf Room Adams";;;;
"ec69c051-8d98-46d6-9bbb-9f91bc130eeb";"ec69c0518d9846d69bbb9f91bc130eebAdeleV@M365x57702712.OnMicrosoft.com";"Adele Vance";;;;
"1e69b0e3-a1c2-4a86-98a9-df5e5e3259d8";"1e69b0e3a1c24a8698a9df5e5e3259d8adipati.dolken@M365x57702712.onmicrosoft.com";"Adipati D. Dolken";;;;
"7047723d-1b2e-4395-9665-1fa85cb95257";"7047723d1b2e439596651fa85cb95257aditya.warman@M365x57702712.onmicrosoft.com";"Aditya W. Warman";;;;
"5f3c2875-6646-440a-9378-56f8496e3a1d";"5f3c28756646440a937856f8496e3a1dagus.darmawan@M365x57702712.onmicrosoft.com";"Agus D. Darmawan";;;;
"cddddfa0-6c1f-4662-939e-8e80c32146b8";"cddddfa06c1f4662939e8e80c32146b8agus.pamungkas@M365x57702712.onmicrosoft.com";"Agus P. Pamungkas";;;;
"2badfb2f-5e29-4cbc-b5b9-cea8dadd9e0c";"2badfb2f5e294cbcb5b9cea8dadd9e0cagus.prasetyo@M365x57702712.onmicrosoft.com";"Agus P. Prasetyo";;;;
"dd2a0e82-435c-4f24-a33b-164c7f414b13";"dd2a0e82435c4f24a33b164c7f414b13agus.rachmad@M365x57702712.onmicrosoft.com";"Agus R. Rachmad";;;;
"93a8911d-4e2c-4c02-80d3-2f64b5517ce1";"93a8911d4e2c4c0280d32f64b5517ce1agus.rachmad1@M365x57702712.onmicrosoft.com";"Agus R. Rachmad";;;;
"a2a5e9a0-d2dc-427a-a0f4-e92880e45160";"a2a5e9a0d2dc427aa0f4e92880e45160agus.rahman@M365x57702712.onmicrosoft.com";"Agus R. Rahman";;;;
"a773b2c3-8562-4944-a7bf-ee1c6d7533fc";"a773b2c385624944a7bfee1c6d7533fcagus.saputra@M365x57702712.onmicrosoft.com";"Agus S. Saputra";;;;
"f6fe1429-d1ab-44ac-9825-d3a6b0d8c388";"f6fe1429d1ab44ac9825d3a6b0d8c388ahmad.dhani@M365x57702712.onmicrosoft.com";"Ahmad D. Dhani";;;;
"0928eafd-3fdb-4d55-92f8-332a114e466f";"0928eafd3fdb4d5592f8332a114e466fAlexWtesting@M365x57702712.OnMicrosoft.com";"Alex Wilber";;;;
"46e70d77-59d0-4659-9d4e-af5aa81d8779";"46e70d7759d046599d4eaf5aa81d8779AllanD@M365x57702712.OnMicrosoft.com";"Allan Deyoung";;;;
"fb27097a-d9be-41a8-b4b2-ca46607a2540";"fb27097ad9be41a8b4b2ca46607a2540andi.hidayat@M365x57702712.onmicrosoft.com";"Andi H. Hidayat";;;;
"997b9cad-e785-4c62-a832-c95b6c5438f2";"997b9cade7854c62a832c95b6c5438f2andi.jatmiko@M365x57702712.onmicrosoft.com";"Andi J. Jatmiko";;;;
"edce0e6e-5b34-4f94-9a8e-978520f6c122";"edce0e6e5b344f949a8e978520f6c122andi.mahendra@M365x57702712.onmicrosoft.com";"Andi M. Mahendra";;;;
"62cdca41-489c-4f91-8aff-1b2701911266";"62cdca41489c4f918aff1b2701911266andi.pratama@M365x57702712.onmicrosoft.com";"Andi P. Pratama";;;;
"f83a9850-299f-497a-ac74-254e061eabbe";"f83a9850299f497aac74254e061eabbeandi.soetomo@M365x57702712.onmicrosoft.com";"Andi S. Soetomo";;;;
"84f574a6-1076-4571-8426-d63adbf650e3";"84f574a6107645718426d63adbf650e3andi.sumardi@M365x57702712.onmicrosoft.com";"Andi S. Sumardi";;;;
"96b0370e-89d7-446e-ac26-14e45b4c6afa";"96b0370e89d7446eac2614e45b4c6afaandi.suwarno@M365x57702712.onmicrosoft.com";"Andi S. Suwarno";;;;
"0aaa9d55-8e27-46e5-9470-49823b49fadf";"0aaa9d558e2746e5947049823b49fadfandika.pratama@M365x57702712.onmicrosoft.com";"Andika P. Pratama";;;;
"5e249d18-9eb7-4460-99b2-d3b000391a29";"5e249d189eb7446099b2d3b000391a29anis.darmadi@M365x57702712.onmicrosoft.com";"Anis D. Darmadi";;;;
"1d8ad8c4-f8cf-4b32-a628-427f52e47981";"1d8ad8c4f8cf4b32a628427f52e47981anis.muttaqin@M365x57702712.onmicrosoft.com";"Anis M. Muttaqin";;;;
"a32e88d3-4c97-4e71-a2e9-8baec7d78ed1";"a32e88d34c974e71a2e98baec7d78ed1anis.pambudi@M365x57702712.onmicrosoft.com";"Anis P. Pambudi";;;;
"5396727d-5967-47d9-8caf-b486b2832b13";"5396727d596747d98cafb486b2832b13anis.pradipta@M365x57702712.onmicrosoft.com";"Anis P. Pradipta";;;;
"18412dc6-24e6-4c7d-ac79-ceb378e99968";"18412dc624e64c7dac79ceb378e99968anis.prasetiyo@M365x57702712.onmicrosoft.com";"Anis P. Prasetiyo";;;;
"634206da-0623-4845-8011-7476ec4964de";"634206da0623484580117476ec4964deanis.suhendra@M365x57702712.onmicrosoft.com";"Anis S. Suhendra";;;;
"662c55d0-0994-47bd-9278-ea57378266ff";"662c55d0099447bd9278ea57378266ffanis.suhendra1@M365x57702712.onmicrosoft.com";"Anis S. Suhendra";;;;
"8eac7a8b-ebb2-4b07-8f80-2bfee3aa43f9";"8eac7a8bebb24b078f802bfee3aa43f9anis.sumantri@M365x57702712.onmicrosoft.com";"Anis S. Sumantri";;;;
"2b0820d3-8920-445d-9b59-2bf82b064e36";"2b0820d38920445d9b592bf82b064e36anis.suwandi@M365x57702712.onmicrosoft.com";"Anis S. Suwandi";;;;
"bcd2d276-6f0f-457f-a6cc-adfbc2a720ee";"bcd2d2766f0f457fa6ccadfbc2a720eeanis.wulandari@M365x57702712.onmicrosoft.com";"Anis W. Wulandari";;;;
"02321451-ac33-427d-a966-60bc9e237e47";"02321451ac33427da96660bc9e237e47arief.cahyadi@M365x57702712.onmicrosoft.com";"Arief C. Cahyadi";;;;
