"UserPrincipalName";"DisplayName";"LastLogonTime";"Status";"Reason"
"alif.mardiono@M365x57702712.onmicrosoft.com";"";"N/A";"FAIL";"Error: ||The operation couldn't be performed because object 'alif.mardiono@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"alif.ramlan@M365x57702712.onmicrosoft.com";"";"N/A";"FAIL";"Error: ||The operation couldn't be performed because object 'alif.ramlan@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"andi.valentino@M365x57702712.onmicrosoft.com";"";"N/A";"FAIL";"Error: ||The operation couldn't be performed because object 'andi.valentino@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"bagas.wibisono@M365x57702712.onmicrosoft.com";"";"N/A";"FAIL";"Error: ||The operation couldn't be performed because object 'bagas.wibisono@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"bima.iskandar@M365x57702712.onmicrosoft.com";"";"N/A";"FAIL";"Error: ||The operation couldn't be performed because object 'bima.iskandar@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"bima.jamaludin@M365x57702712.onmicrosoft.com";"";"N/A";"FAIL";"Error: ||The operation couldn't be performed because object 'bima.jamaludin@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"bulan.bahari@M365x57702712.onmicrosoft.com";"";"N/A";"FAIL";"Error: ||The operation couldn't be performed because object 'bulan.bahari@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"dani.umara@M365x57702712.onmicrosoft.com";"";"N/A";"FAIL";"Error: ||The operation couldn't be performed because object 'dani.umara@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"elang.bachtiar@M365x57702712.onmicrosoft.com";"";"N/A";"FAIL";"Error: ||The operation couldn't be performed because object 'elang.bachtiar@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"fauzi.nasution@M365x57702712.onmicrosoft.com";"";"N/A";"FAIL";"Error: ||The operation couldn't be performed because object 'fauzi.nasution@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"fikri.ramdhan@M365x57702712.onmicrosoft.com";"";"N/A";"FAIL";"Error: ||The operation couldn't be performed because object 'fikri.ramdhan@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"gery.kautsar@M365x57702712.onmicrosoft.com";"";"N/A";"FAIL";"Error: ||The operation couldn't be performed because object 'gery.kautsar@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"gilang.effendi@M365x57702712.onmicrosoft.com";"";"N/A";"FAIL";"Error: ||The operation couldn't be performed because object 'gilang.effendi@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"hana.kautsar@M365x57702712.onmicrosoft.com";"";"N/A";"FAIL";"Error: ||The operation couldn't be performed because object 'hana.kautsar@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"ilham.widianto@M365x57702712.onmicrosoft.com";"";"N/A";"FAIL";"Error: ||The operation couldn't be performed because object 'ilham.widianto@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"IsaiahL@M365x57702712.OnMicrosoft.com";"";"N/A";"FAIL";"Error: ||The operation couldn't be performed because object 'IsaiahL@M365x57702712.OnMicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"iwan.wiratama@M365x57702712.onmicrosoft.com";"";"N/A";"FAIL";"Error: ||The operation couldn't be performed because object 'iwan.wiratama@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"jihan.ismail@M365x57702712.onmicrosoft.com";"";"N/A";"FAIL";"Error: ||The operation couldn't be performed because object 'jihan.ismail@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"jihan.valianto@M365x57702712.onmicrosoft.com";"";"N/A";"FAIL";"Error: ||The operation couldn't be performed because object 'jihan.valianto@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"admin@M365x57702712.onmicrosoft.com";"";"N/A";"FAIL";"Error: ||The operation couldn't be performed because object 'admin@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
