"UserPrincipalName";"DisplayName";"Status";"Reason"
"alif.mardiono@M365x57702712.onmicrosoft.com";"Alif M. Mardiono";"SUCCESS_REMOVED";"Lisensi berhasil dihapus."
"alif.ramlan@M365x57702712.onmicrosoft.com";"Alif R. Ramlan";"SUCCESS_REMOVED";"Lisensi berhasil dihapus."
"andi.valentino@M365x57702712.onmicrosoft.com";"Andi V. Valentino";"SUCCESS_REMOVED";"Lisensi berhasil dihapus."
"bagas.wibisono@M365x57702712.onmicrosoft.com";"Bagas W. Wibisono";"SUCCESS_REMOVED";"Lisensi berhasil dihapus."
"bima.iskandar@M365x57702712.onmicrosoft.com";"Bima I. Iskandar";"SUCCESS_REMOVED";"Lisensi berhasil dihapus."
"bima.jamaludin@M365x57702712.onmicrosoft.com";"Bima J. Jamaludin";"SUCCESS_REMOVED";"Lisensi berhasil dihapus."
"bulan.bahari@M365x57702712.onmicrosoft.com";"Bulan B. Bahari";"SUCCESS_REMOVED";"Lisensi berhasil dihapus."
"dani.umara@M365x57702712.onmicrosoft.com";"Dani U. Umara";"SUCCESS_REMOVED";"Lisensi berhasil dihapus."
"elang.bachtiar@M365x57702712.onmicrosoft.com";"Elang B. Bachtiar";"SUCCESS_REMOVED";"Lisensi berhasil dihapus."
"fauzi.nasution@M365x57702712.onmicrosoft.com";"Fauzi N. Nasution";"SUCCESS_REMOVED";"Lisensi berhasil dihapus."
"fikri.ramdhan@M365x57702712.onmicrosoft.com";"Fikri R. Ramdhan";"SUCCESS_REMOVED";"Lisensi berhasil dihapus."
"gery.kautsar@M365x57702712.onmicrosoft.com";"Gery K. Kautsar";"SUCCESS_REMOVED";"Lisensi berhasil dihapus."
"gilang.effendi@M365x57702712.onmicrosoft.com";"Gilang E. Effendi";"SUCCESS_REMOVED";"Lisensi berhasil dihapus."
"hana.kautsar@M365x57702712.onmicrosoft.com";"Hana K. Kautsar";"SUCCESS_REMOVED";"Lisensi berhasil dihapus."
"ilham.widianto@M365x57702712.onmicrosoft.com";"Ilham W. Widianto";"SUCCESS_REMOVED";"Lisensi berhasil dihapus."
"IsaiahL@M365x57702712.OnMicrosoft.com";"Isaiah Langer";"SUCCESS_REMOVED";"Lisensi berhasil dihapus."
"iwan.wiratama@M365x57702712.onmicrosoft.com";"Iwan W. Wiratama";"SUCCESS_REMOVED";"Lisensi berhasil dihapus."
"jihan.ismail@M365x57702712.onmicrosoft.com";"Jihan I. Ismail";"SUCCESS_REMOVED";"Lisensi berhasil dihapus."
"jihan.valianto@M365x57702712.onmicrosoft.com";"Jihan V. Valianto";"SUCCESS_REMOVED";"Lisensi berhasil dihapus."
"admin@M365x57702712.onmicrosoft.com";"MOD Administrator";"SUCCESS_REMOVED";"Lisensi berhasil dihapus."
